2026-02-27 00:22:30 | INFO     | v10k | [data] Volatility ranking: top coin=POWER/USDT:USDT (78.73% daily range), bottom=BCH/USDT:USDT (6.29%)
2026-02-27 00:42:30 | INFO     | v10k | ============================================================
2026-02-27 00:42:30 | INFO     | v10k |   Velocity-10k Protocol V3.0 — starting up
2026-02-27 00:42:30 | INFO     | v10k |   Mode: PAPER  |  Direction: BOTH
2026-02-27 00:42:30 | INFO     | v10k | ============================================================
2026-02-27 00:42:30 | INFO     | v10k | [persistence] Database ready at 'v10k_state.db'
2026-02-27 00:42:30 | INFO     | v10k | [main] Paper balance: $100.00 USDT
2026-02-27 00:42:30 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-27 00:42:30 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:31 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:34 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:37 | INFO     | v10k | [main] Filters FAILED — Breadth:strong, NLP:bearish
2026-02-27 00:42:38 | ERROR    | v10k | [notifier] All Telegram send attempts exhausted.
2026-02-27 00:42:38 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:40 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:42 | WARNING  | v10k | [notifier] Telegram HTTP 404: {"ok":false,"error_code":404,"description":"Not Found"}
2026-02-27 00:42:46 | ERROR    | v10k | [notifier] All Telegram send attempts exhausted.
2026-02-27 00:44:49 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:08 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:09 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:09 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:09 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:09 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:10 | INFO     | v10k | Shutdown signal received. Stopping …
2026-02-27 00:45:10 | INFO     | v10k | Shutdown signal received. Stopping …
